FBpp_ID,id,Protein_symbol
FBpp0070000,1,Nep3-PA
FBpp0070001,2,CG9570-PA
FBpp0070002,3,Or19b-PA
FBpp0290784,4,CG15322-PB
FBpp0070028,5,Or19a-PB
FBpp0290787,6,karr-PA
FBpp0070031,7,fd19B-PA
FBpp0070034,8,CG17003-PA
FBpp0070035,9,CG12655-PA
FBpp0070044,10,CG33217-PA
FBpp0070045,11,Vps11-PA
FBpp0289147,12,RpL10-PC
FBpp0070062,13,G9a-PA
FBpp0305207,14,G9a-PB
FBpp0070064,15,cin-PA
FBpp0070066,16,CG3777-PA
FBpp0070068,17,CG12470-PA
FBpp0070069,18,Or1a-PA
FBpp0070070,19,y-PA
FBpp0070071,20,ac-PA
FBpp0070072,21,sc-PA
FBpp0070073,22,l(1)sc-PA
FBpp0070074,23,ase-PA
FBpp0070075,24,CG13373-PA
FBpp0111860,25,CG13373-PB
FBpp0070076,26,CG32817-PA
FBpp0070077,27,CG3176-PA
FBpp0307857,28,CG3176-PB
FBpp0070078,29,CG3156-PA
FBpp0070079,30,CG17778-PA
FBpp0070083,31,arg-PA
FBpp0070087,32,CG17896-PB
FBpp0070088,33,CG17896-PA
FBpp0070089,34,CG18273-PA
FBpp0070094,35,Cyp4g1-PA
FBpp0070095,36,Pgcl-PA
FBpp0070097,37,CG32816-PA
FBpp0271950,38,CG32816-PC
FBpp0070098,39,CG13375-PA
FBpp0309734,40,CG13375-PC
FBpp0070102,41,CG3038-PB
FBpp0070103,42,CG3038-PA
FBpp0309182,43,CG3038-PC
FBpp0070104,44,Appl-PA
FBpp0298292,45,Appl-PB
FBpp0298293,46,Appl-PC
FBpp0298294,47,Appl-PD
FBpp0298295,48,Appl-PE
FBpp0298296,49,Appl-PF
FBpp0070110,50,CG13369-PA
FBpp0070111,51,Hinfp-PA
FBpp0070112,52,Hinfp-PC
FBpp0070114,53,Mybbp1A-PA
FBpp0070115,54,su(sable)-PA
FBpp0309080,55,su(sable)-PB
FBpp0070116,56,CG13367-PA
FBpp0300874,57,Roc1a-PC
FBpp0070117,58,Roc1a-PA
FBpp0070129,59,CG5254-PA
FBpp0310321,60,CG5254-PB
FBpp0070130,61,CG5273-PA
FBpp0070133,62,fz3-PA
FBpp0111841,63,fz3-PB
FBpp0428122,64,CG16989-PC
FBpp0070137,65,CG14635-PA
FBpp0288637,66,CG13358-PD
FBpp0070140,67,CG13359-PA
FBpp0070141,68,Rbf-PA
FBpp0070142,69,CG13360-PA
FBpp0070143,70,RpL22-PA
FBpp0070144,71,CG13361-PA
FBpp0070145,72,CG13362-PA
FBpp0070146,73,Hmt4-20-PA
FBpp0070150,74,RpL36-PA
FBpp0070154,75,CG13364-PA
FBpp0070155,76,CG13365-PA
FBpp0070156,77,spdi-PA
FBpp0110088,78,spdi-PB
FBpp0308518,79,spdi-PD
FBpp0308521,80,spdi-PG
FBpp0110101,81,CG14634-PB
FBpp0070158,82,CG11664-PA
FBpp0070159,83,CG11663-PA
FBpp0070160,84,MED22-PA
FBpp0298010,85,CG32815-PC
FBpp0070163,86,TRAM-PA
FBpp0070165,87,mus81-PA
FBpp0070166,88,CG18823-PA
FBpp0070167,89,CG14631-PA
FBpp0070168,90,CG3021-PA
FBpp0070172,91,CG14629-PA
FBpp0070173,92,CG14628-PA
FBpp0070174,93,CG3655-PA
FBpp0303757,94,CG3655-PC
FBpp0070175,95,Cdc45-PA
FBpp0070176,96,CG11638-PA
FBpp0070177,97,TfIIA-S-2-PA
FBpp0070178,98,CG3690-PA
FBpp0070179,99,CG3699-PA
FBpp0070180,100,CG3703-PA
FBpp0070181,101,CG3704-PA
FBpp0070182,102,CG3706-PA
FBpp0303733,103,CG3708-PB
FBpp0070188,104,CG3713-PA
FBpp0070190,105,CG11378-PA
FBpp0070191,106,CG11379-PA
FBpp0070192,107,CG14627-PA
FBpp0070193,108,CG14626-PA
FBpp0070194,109,CG11380-PA
FBpp0070195,110,CG14625-PB
FBpp0070196,111,CG11381-PA
FBpp0070197,112,CG14624-PA
FBpp0070198,113,CG11382-PB
FBpp0070199,114,CG32812-PA
FBpp0070200,115,fs(1)N-PA
FBpp0070202,116,Naa30A-PA
FBpp0302739,117,Naa30A-PD
FBpp0070204,118,Tsp2A-PA
FBpp0070205,119,CG11417-PA
FBpp0070206,120,CG14770-PA
FBpp0089110,121,ssx-PB
FBpp0308819,122,ssx-PC
FBpp0308820,123,ssx-PD
FBpp0070208,124,AMPKalpha-PA
FBpp0070213,125,CG32813-PB
FBpp0303349,126,CG32813-PH
FBpp0428179,127,CG32813-PO
FBpp0070216,128,Rilpl-PA
FBpp0304570,129,Rilpl-PB
FBpp0304571,130,Rilpl-PC
FBpp0070221,131,Lrpprc2-PA
FBpp0070222,132,CG14785-PA
FBpp0070224,133,CG3719-PA
FBpp0070225,134,png-PA
FBpp0070226,135,CG12773-PA
FBpp0304566,136,CG12773-PB
FBpp0070227,137,MTPAP-PA
FBpp0089095,138,MTPAP-PB
FBpp0070228,139,CG11409-PB
FBpp0070229,140,DAAM-PB
FBpp0070231,141,DAAM-PA
FBpp0292356,142,DAAM-PD
FBpp0292011,143,CG32811-PB
FBpp0070234,144,Atf3-PA
FBpp0303417,145,Atf3-PB
FBpp0070235,146,CG11403-PA
FBpp0070240,147,CG11398-PA
FBpp0070241,148,CG11384-PA
FBpp0070242,149,eIF4E7-PA
FBpp0070243,150,CG14777-PB
