FBgn_ID,NumGenInter,NumPhysicalInter
FBgn0015239,0.0,277.0
FBgn0003944,44.0,208.0
FBgn0031006,10.0,198.0
FBgn0005198,17.0,197.0
FBgn0266411,9.0,197.0
FBgn0038197,56.0,196.0
FBgn0262866,8.0,194.0
FBgn0000014,13.0,163.0
FBgn0026317,26.0,148.0
FBgn0014018,22.0,148.0
FBgn0039044,60.0,135.0
FBgn0010379,47.0,131.0
FBgn0015521,4.0,117.0
FBgn0003607,14.0,117.0
FBgn0014010,25.0,116.0
FBgn0000559,0.0,111.0
FBgn0020386,10.0,110.0
FBgn0000084,0.0,109.0
FBgn0033205,0.0,109.0
FBgn0250814,0.0,108.0
FBgn0039757,0.0,107.0
FBgn0020618,3.0,104.0
FBgn0264922,12.0,104.0
FBgn0002590,3.0,103.0
FBgn0000100,2.0,103.0
FBgn0028734,52.0,103.0
FBgn0263006,13.0,102.0
FBgn0036213,0.0,102.0
FBgn0004403,0.0,102.0
FBgn0046214,1.0,102.0
FBgn0029897,0.0,101.0
FBgn0014026,0.0,101.0
FBgn0261592,2.0,101.0
FBgn0000150,9.0,100.0
FBgn0015756,1.0,100.0
FBgn0024733,0.0,100.0
FBgn0017579,1.0,99.0
FBgn0286784,16.0,99.0
FBgn0261599,0.0,99.0
FBgn0022893,0.0,99.0
FBgn0035753,0.0,99.0
FBgn0002593,2.0,99.0
FBgn0015288,1.0,98.0
FBgn0033912,5.0,98.0
FBgn0010409,0.0,98.0
FBgn0003015,36.0,97.0
FBgn0035422,0.0,97.0
FBgn0037351,2.0,97.0
FBgn0005533,3.0,97.0
FBgn0086710,3.0,97.0
FBgn0032987,0.0,97.0
FBgn0003517,6.0,97.0
FBgn0010408,1.0,97.0
FBgn0261602,5.0,97.0
FBgn0039359,0.0,96.0
FBgn0010323,0.0,96.0
FBgn0033699,0.0,96.0
FBgn0026372,0.0,96.0
FBgn0010078,0.0,96.0
FBgn0010198,0.0,96.0
FBgn0037328,0.0,95.0
FBgn0262656,101.0,95.0
FBgn0028697,2.0,95.0
FBgn0039857,0.0,95.0
FBgn0035772,0.0,94.0
FBgn0030616,0.0,94.0
FBgn0034138,0.0,94.0
FBgn0285949,0.0,94.0
FBgn0000319,6.0,94.0
FBgn0034743,0.0,93.0
FBgn0002579,1.0,93.0
FBgn0003942,0.0,93.0
FBgn0285950,3.0,93.0
FBgn0011272,0.0,93.0
FBgn0003274,0.0,93.0
FBgn0040007,9.0,93.0
FBgn0261597,2.0,92.0
FBgn0003279,0.0,92.0
FBgn0010516,1.0,92.0
FBgn0016685,0.0,91.0
FBgn0039300,0.0,91.0
FBgn0010412,0.0,91.0
FBgn0030136,0.0,91.0
FBgn0011284,0.0,91.0
FBgn0036825,0.0,91.0
FBgn0010265,2.0,91.0
FBgn0032518,0.0,91.0
FBgn0002622,13.0,91.0
FBgn0019936,0.0,91.0
FBgn0002626,0.0,91.0
FBgn0037555,2.0,90.0
FBgn0086472,0.0,90.0
FBgn0004867,2.0,90.0
FBgn0035811,1.0,90.0
FBgn0039713,0.0,90.0
FBgn0016726,0.0,90.0
FBgn0035499,1.0,90.0
FBgn0030362,0.0,90.0
FBgn0010411,1.0,90.0
FBgn0003079,95.0,89.0
FBgn0261608,0.0,89.0
FBgn0034968,0.0,89.0
FBgn0064225,2.0,89.0
FBgn0285948,3.0,89.0
FBgn0262739,10.0,89.0
FBgn0031980,0.0,88.0
FBgn0039406,0.0,88.0
FBgn0020910,0.0,88.0
FBgn0030993,0.0,88.0
FBgn0013325,0.0,88.0
FBgn0286213,5.0,88.0
FBgn0038834,1.0,88.0
FBgn0262559,0.0,88.0
FBgn0003520,8.0,88.0
FBgn0261596,0.0,88.0
FBgn0017545,1.0,88.0
FBgn0023170,0.0,88.0
FBgn0005593,2.0,88.0
FBgn0029785,0.0,88.0
FBgn0066084,0.0,87.0
