Genotype,Condition,Date,Sex,Number,CyO,Characteristics,Tube,Line,Gene_name,Fbgn_ID,Regulation,
1,RU_0,30_01,female,18,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,30_01,female,36,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,30_01,female,49,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,30_01,female,5,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,30_01,female,33,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,1_02,female,39,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,1_02,female,34,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,1_02,female,20,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,1_02,female,31,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,1_02,female,26,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,5_02,female,15,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,5_02,female,14,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,5_02,female,25,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,5_02,female,16,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,5_02,female,28,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,30_01,male,9,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,30_01,male,21,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,30_01,male,33,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,30_01,male,1,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,30_01,male,40,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,1_02,male,40,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,1_02,male,31,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,1_02,male,26,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,1_02,male,28,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,1_02,male,31,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,5_02,male,21,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,5_02,male,20,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,5_02,male,29,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,5_02,male,29,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_0,5_02,male,33,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,30_01,female,16,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,30_01,female,51,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,30_01,female,17,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,30_01,female,15,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,30_01,female,,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,1_02,female,28,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,1_02,female,5,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,1_02,female,13,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,1_02,female,33,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,1_02,female,29,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,5_02,female,9,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,5_02,female,28,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,5_02,female,3,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,5_02,female,15,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,5_02,female,8,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,30_01,male,9,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,30_01,male,43,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,30_01,male,15,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,30_01,male,9,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,30_01,male,,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,1_02,male,11,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,1_02,male,2,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,1_02,male,10,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,1_02,male,21,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,1_02,male,15,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,5_02,male,6,,Male yellow eyes,1,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,5_02,male,23,,Male yellow eyes,2,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,5_02,male,9,,Male yellow eyes,3,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,5_02,male,4,,Male yellow eyes,4,28038,nAChRbeta2,FBgn0004118,RNAi,
1,RU_20,5_02,male,5,,Male yellow eyes,5,28038,nAChRbeta2,FBgn0004118,RNAi,
2,RU_0,30_01,female,30,,Male yellow eyes,1,27514,put,FBgn0003169,RNAi,
2,RU_0,30_01,female,22,,Male yellow eyes,2,27514,put,FBgn0003169,RNAi,
2,RU_0,30_01,female,23,,Male yellow eyes,3,27514,put,FBgn0003169,RNAi,
2,RU_0,30_01,female,38,,Male yellow eyes,4,27514,put,FBgn0003169,RNAi,
2,RU_0,30_01,female,3,,Male yellow eyes,5,27514,put,FBgn0003169,RNAi,
2,RU_0,1_02,female,30,,Male yellow eyes,1,27514,put,FBgn0003169,RNAi,
2,RU_0,1_02,female,23,,Male yellow eyes,2,27514,put,FBgn0003169,RNAi,
2,RU_0,1_02,female,45,,Male yellow eyes,3,27514,put,FBgn0003169,RNAi,
2,RU_0,1_02,female,38,,Male yellow eyes,4,27514,put,FBgn0003169,RNAi,
2,RU_0,1_02,female,57,,Male yellow eyes,5,27514,put,FBgn0003169,RNAi,
2,RU_0,5_02,female,28,,Male yellow eyes,1,27514,put,FBgn0003169,RNAi,
2,RU_0,5_02,female,26,,Male yellow eyes,2,27514,put,FBgn0003169,RNAi,
2,RU_0,5_02,female,18,,Male yellow eyes,3,27514,put,FBgn0003169,RNAi,
2,RU_0,5_02,female,22,,Male yellow eyes,4,27514,put,FBgn0003169,RNAi,
2,RU_0,5_02,female,28,,Male yellow eyes,5,27514,put,FBgn0003169,RNAi,
2,RU_0,30_01,male,28,,Male yellow eyes,1,27514,put,FBgn0003169,RNAi,
2,RU_0,30_01,male,30,,Male yellow eyes,2,27514,put,FBgn0003169,RNAi,
2,RU_0,30_01,male,12,,Male yellow eyes,3,27514,put,FBgn0003169,RNAi,
2,RU_0,30_01,male,41,,Male yellow eyes,4,27514,put,FBgn0003169,RNAi,
2,RU_0,30_01,male,3,,Male yellow eyes,5,27514,put,FBgn0003169,RNAi,
2,RU_0,1_02,male,33,,Male yellow eyes,1,27514,put,FBgn0003169,RNAi,
2,RU_0,1_02,male,41,,Male yellow eyes,2,27514,put,FBgn0003169,RNAi,
2,RU_0,1_02,male,28,,Male yellow eyes,3,27514,put,FBgn0003169,RNAi,
2,RU_0,1_02,male,48,,Male yellow eyes,4,27514,put,FBgn0003169,RNAi,
2,RU_0,1_02,male,53,,Male yellow eyes,5,27514,put,FBgn0003169,RNAi,
2,RU_0,5_02,male,29,,Male yellow eyes,1,27514,put,FBgn0003169,RNAi,
2,RU_0,5_02,male,24,,Male yellow eyes,2,27514,put,FBgn0003169,RNAi,
2,RU_0,5_02,male,35,,Male yellow eyes,3,27514,put,FBgn0003169,RNAi,result
2,RU_0,5_02,male,35,,Male yellow eyes,4,27514,put,FBgn0003169,RNAi,
2,RU_0,5_02,male,37,,Male yellow eyes,5,27514,put,FBgn0003169,RNAi,
2,RU_20,30_01,female,27,,Male yellow eyes,1,27514,put,FBgn0003169,RNAi,
2,RU_20,30_01,female,44,,Male yellow eyes,2,27514,put,FBgn0003169,RNAi,
2,RU_20,30_01,female,,,Male yellow eyes,3,27514,put,FBgn0003169,RNAi,
2,RU_20,30_01,female,19,,Male yellow eyes,4,27514,put,FBgn0003169,RNAi,
